assay-pathology-probe,PIRACETAM-3d-2500mg/kg,ACETAMINOPHE-.25d-486mg/kg,CLEMASTINE-5d-5.4mg/kg,ARTEMETHER-1d-74mg/kg,FERROCENE-5d-330mg/kg,"1,4-DICHLORO-1d-735mg/kg",PIROXICAM-3d-14mg/kg,METOPROLOL-3d-1200mg/kg,LEVOFLOXACIN-5d-739mg/kg,ALLYL ALCOHO-5d-32mg/kg,STREPTOZOTOC-1d-138mg/kg,AMIODARONE-5d-147mg/kg,HYDROQUINONE-3d-800mg/kg,ROLIPRAM-1d-75mg/kg,ENROFLOXACIN-3d-2000mg/kg,PHENYLBUTAZO-5d-368mg/kg,INTERLEUKIN -1d-.125mg/kg,PROCARBAZINE-1d-27mg/kg,NIMESULIDE-5d-30mg/kg,SULFANILAMID-1d-636mg/kg,CERIVASTATIN-.25d-.05mg/kg,GLICLAZIDE-1d-1500mg/kg,ETOPOSIDE-3d-100mg/kg,AMITRIPTYLIN-3d-160mg/kg,INDINAVIR-1d-1000mg/kg,PICLAMILAST-1d-17mg/kg,PROBENECID-.25d-600mg/kg,HYDRAZINE-3d-45mg/kg,PROCARBAZINE-5d-27mg/kg,LEAD(IV) ACE-5d-200mg/kg,VINORELBINE-5d-1.5mg/kg,CHLORAMBUCIL-.25d-4.5mg/kg,CARMUSTINE-3d-16mg/kg,GENISTEIN-3d-375mg/kg,CLOFIBRIC AC-5d-448mg/kg,ETOPOSIDE-1d-100mg/kg,MEXILETINE-3d-350mg/kg,PRAZIQUANTEL-5d-1200mg/kg,VALPROIC ACI-3d-1500mg/kg,CARBACHOL-.25d-15mg/kg,BENZOTHIAZYL-3d-2600mg/kg,ATROPINE-1d-2.3mg/kg,ATROPINE-3d-2.3mg/kg,ETIDRONATE-1d-1005mg/kg,CYCLOSPORIN -1d-70mg/kg,SILDENAFIL-.25d-2.5mg/kg,CLOZAPINE-3d-95mg/kg,BUPROPION-3d-895mg/kg,VALPROIC ACI-3d-1340mg/kg,VALPROIC ACI-5d-1340mg/kg
Senp17_37957-LI,0.02,0.01,0.01,-0.00,-0.00,-0.01,-0.00,-0.01,-0.01,0.01,-0.02,0.00,0.01,0.01,0.01,0.00,0.00,-0.01,0.01,-0.00,0.04,-0.00,0.00,-0.01,-0.01,-0.00,-0.01,-0.01,0.00,0.00,0.01,0.01,-0.03,0.00,-0.02,0.01,-0.00,-0.01,0.01,0.01,-0.00,-0.00,0.00,-0.13,-0.01,0.01,-0.01,-0.00,-0.00,0.01
LOC100361854_43953-LI,0.09,0.13,0.14,-0.07,0.07,0.06,0.12,0.06,0.12,0.13,-0.08,0.10,-0.03,0.02,-0.09,0.16,0.10,0.01,-0.04,0.04,0.09,0.07,0.02,-0.00,0.11,0.01,0.16,0.11,0.14,0.04,0.00,0.22,0.18,0.11,0.13,-0.07,0.17,0.10,0.20,0.16,0.20,0.12,0.11,-0.10,0.02,0.12,0.00,0.15,0.03,0.00
Socs7_52317-LI,-0.03,-0.11,-0.07,-0.06,-0.07,-0.02,-0.01,-0.00,-0.00,0.04,-0.17,0.03,-0.01,0.08,-0.01,-0.09,-0.01,0.02,-0.01,-0.07,-0.07,-0.08,-0.20,-0.07,-0.13,-0.02,-0.04,-0.06,-0.08,-0.02,-0.07,-0.07,0.00,-0.06,-0.14,-0.12,-0.01,-0.02,0.10,0.01,-0.09,-0.02,-0.02,-0.04,-0.07,-0.12,0.01,0.03,0.07,-0.12
Rhcg_42076-LI,0.01,0.00,0.00,-0.00,0.01,-0.00,-0.01,-0.01,0.02,0.00,-0.03,0.00,-0.01,-0.00,0.00,0.04,0.00,-0.03,0.02,0.00,0.02,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.04,0.01,-0.00,-0.00,0.01,-0.01,-0.00,0.01,0.00,0.02,-0.00,-0.01,0.02,-0.03,0.00,0.00,-0.02,-0.06,0.01,-0.01,-0.01,0.01,0.08
Hist1h1e_41692-LI,-0.06,-0.34,-0.12,-0.02,-0.19,0.02,-0.33,-0.24,-0.20,-0.18,-0.31,-0.21,-0.26,-0.29,-0.07,-0.09,-0.17,-0.10,-0.14,-0.16,-0.33,-0.34,-0.10,-0.18,-0.11,-0.28,-0.03,-0.04,-0.10,-0.26,-0.01,-0.43,0.07,-0.07,-0.09,-0.08,-0.09,-0.19,-0.14,-0.08,-0.23,-0.30,-0.36,-0.34,-0.09,-0.17,-0.17,0.16,-0.38,-0.25
Drc1_45862-LI,0.02,-0.01,0.01,-0.01,0.01,0.01,0.00,-0.02,0.00,-0.08,0.00,-0.01,0.01,0.02,0.01,-0.04,-0.01,-0.01,0.01,0.01,0.01,0.00,-0.04,-0.01,-0.01,0.01,0.01,0.04,0.15,-0.07,0.01,0.00,-0.01,-0.01,-0.02,-0.00,0.01,0.02,0.01,0.00,-0.00,0.00,0.06,-0.02,-0.00,0.01,0.00,-0.00,0.00,-0.00
Ankrd7_44607-LI,0.03,-0.00,0.04,0.01,0.01,-0.00,0.01,0.01,-0.01,0.04,-0.00,0.02,0.03,0.04,0.02,0.01,0.00,-0.01,0.04,0.00,0.01,-0.00,0.02,-0.00,-0.00,0.02,0.01,-0.01,0.01,-0.01,0.05,-0.00,0.00,-0.01,-0.01,-0.01,-0.03,0.02,-0.01,0.02,-0.00,0.01,0.01,-0.04,0.05,0.01,0.01,-0.02,0.01,-0.07
Dpm2_8491-LI,-0.10,-0.07,0.06,-0.05,-0.16,-0.22,-0.01,-0.12,-0.12,0.06,-0.23,0.11,-0.03,-0.19,-0.03,-0.01,-0.09,-0.16,-0.02,-0.09,-0.10,0.06,-0.06,-0.04,-0.07,-0.14,-0.03,0.03,-0.07,0.07,-0.08,0.03,-0.17,-0.14,-0.10,-0.22,-0.01,-0.06,0.17,0.02,-0.12,0.01,-0.17,-0.03,-0.04,0.04,-0.10,0.20,0.21,-0.04
Atp2c2_51529-LI,0.02,0.02,0.03,-0.02,0.04,-0.02,-0.01,-0.01,0.03,0.01,-0.07,0.03,0.03,0.00,-0.05,-0.03,-0.00,-0.01,-0.04,-0.00,0.02,-0.00,-0.02,-0.03,0.03,-0.00,-0.05,0.02,-0.04,-0.01,-0.08,-0.00,-0.10,-0.02,-0.04,-0.03,-0.00,-0.06,0.04,0.01,-0.06,-0.02,-0.01,0.09,0.02,-0.01,-0.01,0.00,-0.01,-0.02
Tacc2_52450-LI,-0.05,0.11,-0.10,-0.13,-0.10,-0.17,0.01,0.06,-0.04,0.22,-0.20,0.08,-0.13,0.16,-0.08,-0.05,0.06,-0.07,-0.08,-0.08,-0.20,-0.06,-0.15,-0.21,-0.09,0.20,0.06,0.04,-0.09,-0.04,-0.13,0.03,0.18,-0.04,-0.01,-0.06,-0.05,-0.27,0.20,-0.14,-0.16,-0.09,-0.13,-0.36,0.01,-0.01,-0.11,0.04,-0.07,-0.12
Zfp710_53317-LI,-0.09,-0.21,-0.11,-0.06,-0.14,-0.07,-0.10,-0.17,-0.13,-0.04,-0.27,-0.00,-0.18,-0.03,-0.13,-0.10,-0.15,-0.09,-0.21,-0.18,-0.20,-0.07,-0.13,-0.12,-0.13,-0.04,-0.09,-0.06,-0.11,-0.22,-0.04,-0.18,-0.02,-0.24,-0.16,-0.17,-0.10,-0.47,0.10,-0.15,-0.17,-0.18,-0.27,-0.37,-0.18,-0.15,-0.12,0.02,-0.05,-0.06
Rprd1a_48547-LI,0.03,-0.07,0.01,-0.00,-0.07,-0.06,0.03,0.01,-0.05,0.14,-0.16,0.11,0.00,0.04,0.02,-0.04,-0.04,-0.05,0.02,-0.03,-0.08,0.08,-0.16,-0.07,0.00,-0.05,-0.03,-0.00,0.15,0.03,-0.02,-0.03,-0.13,-0.09,-0.05,-0.10,0.01,-0.12,0.12,-0.01,-0.12,0.04,0.03,0.12,-0.04,-0.04,0.02,0.13,0.02,-0.00
Cyp2a3_46409-LI,0.32,0.03,0.43,0.81,0.28,0.18,0.39,0.16,0.28,0.09,0.68,0.02,0.21,0.10,0.23,-0.05,-0.22,0.29,0.84,0.30,0.41,0.02,0.39,0.28,0.07,0.06,0.20,0.02,0.18,0.09,0.42,0.10,0.65,0.80,0.68,0.63,0.14,-0.05,-0.12,0.21,0.50,0.26,0.04,-0.08,0.62,0.22,0.23,-0.04,0.44,0.02
Ces2j_48241-LI,0.02,0.01,0.02,-0.01,0.00,-0.01,-0.01,-0.00,-0.01,0.16,-0.01,0.01,-0.02,0.04,0.01,-0.00,-0.01,-0.01,-0.01,0.00,-0.00,0.00,0.00,-0.03,-0.01,0.01,-0.03,-0.00,0.01,-0.01,-0.05,0.01,0.02,-0.01,-0.01,-0.00,0.02,-0.01,0.01,-0.00,-0.02,0.03,0.02,0.04,0.00,0.00,0.00,-0.01,0.01,-0.01
Olr1012_46861-LI,0.02,0.00,0.03,0.00,0.00,-0.00,-0.01,-0.00,0.01,-0.05,-0.01,0.01,0.01,0.00,0.01,0.01,0.01,-0.01,0.01,-0.00,0.01,0.01,0.00,0.00,-0.01,-0.00,0.00,0.01,0.01,-0.01,-0.00,0.01,0.01,0.00,-0.07,0.01,0.01,0.00,0.01,0.01,-0.00,-0.00,0.00,-0.06,-0.01,0.01,-0.01,-0.00,0.01,0.02
LOC686748_34722-LI,0.02,-0.00,0.03,0.00,0.01,-0.00,0.01,-0.00,-0.00,0.01,-0.00,0.01,0.01,0.00,0.01,-0.00,-0.00,-0.02,0.01,-0.00,0.00,0.03,-0.00,0.00,-0.01,-0.01,-0.01,-0.00,-0.03,-0.01,-0.00,-0.01,-0.02,-0.00,0.03,0.00,0.01,0.02,0.01,0.01,0.00,-0.00,0.01,-0.03,-0.00,0.02,-0.01,-0.00,0.01,0.03
Lcn5_53715-LI,0.02,0.00,0.02,-0.01,-0.00,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,0.01,0.00,-0.02,-0.00,0.00,-0.02,-0.00,-0.00,0.01,0.00,-0.01,0.01,-0.01,0.00,0.00,-0.01,-0.05,-0.01,-0.00,0.00,-0.02,-0.00,0.01,-0.01,0.04,0.00,-0.00,0.01,-0.00,-0.00,-0.01,-0.07,-0.01,0.00,-0.02,-0.00,-0.03,0.06
