assay-pathology-probe,PIRACETAM-3d-2500mg/kg,ACETAMINOPHE-.25d-486mg/kg,CLEMASTINE-5d-5.4mg/kg,ARTEMETHER-1d-74mg/kg,FERROCENE-5d-330mg/kg,"1,4-DICHLORO-1d-735mg/kg",PIROXICAM-3d-14mg/kg,METOPROLOL-3d-1200mg/kg,LEVOFLOXACIN-5d-739mg/kg,ALLYL ALCOHO-5d-32mg/kg,STREPTOZOTOC-1d-138mg/kg,AMIODARONE-5d-147mg/kg,HYDROQUINONE-3d-800mg/kg,ROLIPRAM-1d-75mg/kg,ENROFLOXACIN-3d-2000mg/kg,PHENYLBUTAZO-5d-368mg/kg,INTERLEUKIN -1d-.125mg/kg,PROCARBAZINE-1d-27mg/kg,NIMESULIDE-5d-30mg/kg,SULFANILAMID-1d-636mg/kg,CERIVASTATIN-.25d-.05mg/kg,GLICLAZIDE-1d-1500mg/kg,ETOPOSIDE-3d-100mg/kg,AMITRIPTYLIN-3d-160mg/kg,INDINAVIR-1d-1000mg/kg,PICLAMILAST-1d-17mg/kg,PROBENECID-.25d-600mg/kg,HYDRAZINE-3d-45mg/kg,PROCARBAZINE-5d-27mg/kg,LEAD(IV) ACE-5d-200mg/kg,VINORELBINE-5d-1.5mg/kg,CHLORAMBUCIL-.25d-4.5mg/kg,CARMUSTINE-3d-16mg/kg,GENISTEIN-3d-375mg/kg,CLOFIBRIC AC-5d-448mg/kg,ETOPOSIDE-1d-100mg/kg,MEXILETINE-3d-350mg/kg,PRAZIQUANTEL-5d-1200mg/kg,VALPROIC ACI-3d-1500mg/kg,CARBACHOL-.25d-15mg/kg,BENZOTHIAZYL-3d-2600mg/kg,ATROPINE-1d-2.3mg/kg,ATROPINE-3d-2.3mg/kg,ETIDRONATE-1d-1005mg/kg,CYCLOSPORIN -1d-70mg/kg,SILDENAFIL-.25d-2.5mg/kg,CLOZAPINE-3d-95mg/kg,BUPROPION-3d-895mg/kg,VALPROIC ACI-3d-1340mg/kg,VALPROIC ACI-5d-1340mg/kg
LI_RU1_Isgf3g_P015925,0.09,-0.03,0.03,0.09,0.05,-0.01,0.07,0.01,-0.02,0.04,-0.06,0.02,0.10,0.03,-0.04,-0.00,-0.01,0.03,-0.05,0.03,0.15,0.12,-0.07,-0.07,0.16,0.04,0.04,0.04,0.01,0.18,-0.02,-0.08,0.04,-0.17,0.09,0.16,0.01,-0.06,-0.01,0.04,-0.05,-0.06,0.03,0.11,-0.04,-0.01,0.03,-0.04,0.21,0.37
LI_RU1_Ppapdc2_P021146,0.00,0.05,0.03,-0.08,-0.04,-0.04,-0.00,0.08,0.03,-0.04,0.00,0.05,-0.04,-0.03,0.03,-0.05,-0.05,-0.01,0.04,0.04,0.02,0.03,-0.07,-0.14,-0.04,0.06,-0.05,-0.07,-0.02,-0.03,0.08,0.15,0.22,-0.12,-0.10,-0.02,0.05,0.02,0.04,-0.08,-0.10,0.00,0.01,-0.23,-0.11,-0.02,-0.01,-0.01,0.00,-0.03
LI_RU1_Tpo1_P006387,0.01,0.03,-0.04,0.09,0.05,0.00,-0.00,-0.01,0.07,-0.00,0.02,0.14,0.04,0.19,0.11,-0.15,-0.08,-0.02,-0.02,0.01,0.00,-0.23,0.06,0.01,-0.05,0.02,0.07,0.12,0.08,0.08,-0.04,-0.04,-0.19,0.01,-0.04,-0.03,-0.09,-0.08,0.10,0.01,-0.23,0.10,-0.00,0.43,0.12,0.09,0.04,-0.12,-0.03,-0.44
Pick1_47651-LI,-0.01,-0.09,-0.03,-0.09,-0.04,-0.05,-0.06,0.02,-0.01,0.10,-0.18,0.08,-0.03,-0.01,-0.09,0.02,0.02,-0.09,-0.06,-0.04,-0.17,0.02,-0.10,-0.01,-0.00,-0.03,-0.03,0.02,-0.04,0.00,-0.04,0.01,0.10,-0.05,-0.06,-0.15,0.04,-0.00,0.19,-0.06,-0.04,-0.02,-0.06,0.03,-0.05,-0.13,-0.03,0.17,0.03,-0.01
Olr831_49527-LI,0.02,0.01,0.04,0.00,0.01,-0.01,0.00,0.00,-0.01,0.05,-0.01,0.01,0.00,0.01,0.00,0.01,-0.01,-0.01,0.00,0.01,0.03,0.00,0.02,-0.00,-0.00,-0.00,-0.01,-0.00,0.01,-0.01,0.01,0.01,0.17,-0.00,-0.00,0.00,0.04,0.01,0.01,0.01,-0.00,-0.00,0.00,-0.07,-0.01,0.01,-0.01,0.00,0.01,0.04
Arl6_35444-LI,0.06,0.04,0.01,0.00,-0.02,-0.06,0.07,0.01,-0.01,0.10,-0.07,0.01,0.02,-0.04,0.09,0.02,0.06,0.07,0.02,0.02,0.04,0.06,0.04,-0.08,-0.00,0.02,0.01,0.05,0.06,0.06,0.06,0.14,0.05,0.07,0.17,-0.03,0.06,0.10,0.17,0.05,-0.02,0.11,0.17,0.11,0.09,-0.00,0.04,0.12,0.04,-0.06
Ptbp1_32416-LI,-0.19,-0.31,-0.05,-0.18,-0.23,-0.10,0.04,-0.14,-0.17,0.06,-0.26,-0.04,-0.03,-0.12,-0.11,-0.07,-0.01,-0.23,-0.03,-0.12,-0.12,-0.09,-0.25,-0.07,-0.12,-0.16,-0.26,0.07,-0.12,-0.17,-0.20,-0.15,0.04,-0.22,-0.13,-0.32,-0.09,-0.18,0.20,0.05,-0.09,-0.12,-0.25,-0.30,-0.26,-0.13,-0.22,0.29,0.01,-0.06
Kif26b_35137-LI,0.04,-0.02,0.01,0.04,0.04,0.02,0.04,-0.02,-0.04,0.08,-0.03,-0.04,0.02,-0.04,-0.06,0.03,-0.04,0.03,0.11,-0.01,-0.05,0.01,0.03,0.01,-0.04,-0.03,-0.04,0.06,0.04,-0.04,-0.06,-0.02,0.16,0.01,0.04,0.04,0.02,-0.05,-0.02,0.02,-0.08,-0.03,-0.00,0.04,0.02,-0.00,-0.00,0.04,-0.02,-0.03
Olr1002_34763-LI,0.02,0.01,-0.01,0.00,0.01,0.01,0.01,-0.00,-0.00,0.01,-0.01,0.02,0.01,0.01,0.01,0.01,0.02,-0.01,0.00,0.00,0.01,-0.01,0.01,-0.00,-0.01,0.01,0.01,-0.01,-0.01,-0.01,0.04,0.01,-0.02,0.00,-0.00,-0.00,0.01,0.01,0.01,0.01,-0.01,0.00,0.01,0.00,-0.00,0.02,0.01,0.01,-0.02,-0.01
Slc9a8_53144-LI,-0.05,-0.15,0.01,-0.07,-0.03,-0.06,-0.03,-0.03,-0.04,0.20,-0.17,0.09,-0.02,0.05,0.02,-0.04,-0.05,-0.04,-0.02,-0.01,-0.20,-0.06,-0.09,-0.07,-0.05,-0.01,-0.04,0.03,0.05,-0.01,-0.09,-0.01,0.18,-0.06,-0.14,-0.23,-0.06,-0.03,0.12,-0.01,-0.15,-0.06,-0.09,0.07,-0.11,-0.13,0.00,0.14,-0.07,-0.25
Uck2_40081-LI,0.03,-0.00,-0.00,-0.01,-0.01,0.01,-0.00,-0.01,-0.00,0.20,-0.05,-0.00,-0.01,-0.01,0.01,0.05,-0.01,-0.01,-0.00,-0.03,-0.04,0.03,0.02,-0.04,0.03,-0.00,0.03,-0.02,0.02,-0.00,-0.02,0.01,0.10,-0.01,0.02,-0.00,0.01,0.02,0.01,0.00,-0.04,0.01,0.00,-0.09,-0.00,0.01,-0.03,0.01,-0.01,-0.17
AC096473.3_48407-LI,0.02,0.00,0.01,-0.00,-0.01,-0.01,-0.01,-0.00,-0.00,0.01,-0.01,-0.00,-0.00,-0.00,0.01,-0.00,0.01,-0.01,-0.00,-0.00,0.01,-0.01,0.04,-0.02,-0.03,0.00,-0.00,-0.04,0.01,-0.00,-0.00,0.01,-0.08,-0.01,-0.01,-0.01,-0.00,-0.00,0.00,0.00,-0.01,-0.01,-0.00,-0.03,-0.05,0.01,-0.01,-0.01,0.00,0.00
Lhx5_42714-LI,0.02,0.03,0.04,-0.01,0.01,0.01,-0.00,-0.01,0.00,0.01,-0.01,0.00,0.00,0.00,0.02,0.01,0.02,0.00,0.00,0.00,-0.00,0.00,0.01,-0.00,-0.01,-0.01,-0.00,0.01,0.01,-0.00,0.00,0.02,0.02,-0.01,-0.02,-0.00,-0.00,-0.01,0.01,-0.01,-0.01,0.00,0.00,0.02,-0.01,0.01,-0.01,0.00,0.01,0.00
Sdr16c6_47838-LI,0.03,-0.13,-0.01,0.09,0.12,0.01,-0.07,0.01,-0.01,0.05,-0.00,0.04,0.08,-0.04,-0.03,-0.06,0.02,-0.05,0.04,0.04,0.11,-0.10,0.14,-0.05,-0.03,-0.01,-0.12,0.05,-0.18,0.05,-0.03,-0.03,0.14,0.03,0.24,0.04,0.15,0.17,0.02,0.05,-0.09,-0.05,-0.10,0.01,0.14,-0.08,-0.01,0.01,-0.09,0.03
Ints6l_44802-LI,0.01,-0.02,-0.02,-0.03,-0.07,-0.06,-0.06,0.01,0.03,0.12,-0.12,0.06,-0.03,0.08,-0.06,-0.03,0.01,-0.00,0.01,-0.05,-0.04,-0.01,-0.08,-0.06,-0.09,0.06,0.03,-0.04,0.01,-0.01,-0.08,0.02,-0.10,-0.04,-0.05,-0.07,0.07,-0.04,0.09,0.01,-0.10,-0.02,-0.01,0.10,-0.05,0.00,-0.01,0.03,-0.02,-0.07
AC127076.1_38209-LI,0.03,0.01,0.03,0.00,0.01,-0.00,0.01,0.00,-0.00,-0.00,0.00,0.01,0.02,0.01,0.01,0.02,0.01,0.00,0.01,0.01,-0.01,0.00,0.01,0.01,-0.00,0.01,-0.06,-0.01,-0.03,-0.01,0.01,0.01,-0.00,0.01,0.00,-0.00,0.02,0.11,0.02,0.01,0.02,0.00,0.01,0.12,-0.01,0.01,-0.01,0.01,-0.01,0.04
AC105662.1_40172-LI,0.06,-0.01,0.01,-0.03,-0.01,0.00,-0.00,-0.00,0.00,0.12,-0.01,0.10,0.06,-0.02,-0.04,0.02,0.00,-0.02,-0.00,0.05,0.06,0.03,0.01,0.02,-0.02,-0.02,0.01,-0.00,0.08,-0.01,-0.03,0.06,0.04,0.03,0.03,-0.06,0.04,0.04,0.10,0.04,-0.15,0.02,0.03,-0.13,-0.03,0.01,0.02,0.03,0.20,0.08
Ntn5_35975-LI,0.02,-0.00,0.01,0.01,0.01,-0.00,0.00,0.00,-0.01,-0.02,-0.02,0.01,0.01,0.00,0.01,-0.01,-0.01,-0.01,0.00,-0.00,0.01,0.01,0.00,0.01,-0.01,0.00,-0.00,-0.01,0.01,0.00,0.01,0.02,-0.04,-0.00,-0.00,0.00,0.03,0.03,0.01,0.01,-0.01,-0.00,0.00,-0.01,-0.01,0.01,-0.01,0.01,0.01,0.07
Mex3b_33306-LI,0.02,-0.01,0.01,-0.00,-0.00,-0.01,-0.00,-0.00,-0.03,0.02,-0.02,-0.02,-0.03,0.00,0.00,-0.00,0.01,-0.02,0.01,-0.00,0.01,-0.00,0.00,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-0.00,0.01,-0.06,0.01,-0.01,-0.01,0.00,-0.01,-0.00,0.01,-0.02,-0.00,0.00,0.00,-0.01,0.00,-0.02,0.00,0.01,0.04
LOC108348052_37380-LI,0.03,0.02,0.01,0.02,0.00,-0.02,-0.04,-0.01,-0.00,-0.05,-0.01,-0.01,0.00,-0.02,0.01,0.03,0.00,0.02,0.01,-0.03,0.03,0.07,0.03,0.01,-0.01,-0.01,-0.01,-0.03,0.00,-0.02,-0.00,0.04,0.05,0.02,0.04,0.01,0.06,-0.07,0.04,0.01,0.00,-0.01,0.01,-0.01,-0.01,0.05,-0.02,0.03,0.02,0.03
Tomm22_44962-LI,0.03,-0.07,0.01,-0.11,-0.03,-0.06,-0.06,-0.01,-0.04,0.04,-0.21,0.15,-0.00,0.03,-0.09,0.06,-0.00,-0.07,-0.05,0.01,-0.01,0.01,-0.06,-0.01,-0.03,-0.06,0.03,0.12,0.04,-0.03,-0.09,0.09,0.08,-0.07,-0.02,-0.18,-0.02,-0.11,0.24,0.01,-0.01,-0.01,-0.04,-0.03,-0.07,0.04,0.03,0.15,0.01,0.03
Ampd1_32743-LI,0.04,-0.08,-0.06,-0.08,-0.11,-0.09,-0.04,0.09,0.02,0.38,-0.06,0.02,-0.09,0.06,-0.03,-0.07,0.09,-0.12,-0.01,-0.04,-0.23,0.01,-0.29,-0.20,-0.15,-0.01,0.26,-0.01,-0.03,-0.07,-0.03,-0.08,-0.17,-0.03,-0.22,-0.17,-0.12,-0.01,-0.05,0.06,0.00,-0.05,-0.05,0.06,-0.07,-0.07,-0.10,0.06,0.01,-0.16
AABR07028349.1_42416-LI,0.02,0.00,0.00,0.00,0.00,-0.00,-0.03,-0.01,-0.01,0.01,-0.01,0.00,0.01,0.01,0.00,0.00,-0.00,-0.01,-0.00,-0.01,0.01,-0.00,-0.01,-0.01,-0.01,-0.01,-0.00,0.02,0.01,-0.01,0.00,0.00,0.05,-0.00,-0.01,0.01,0.01,-0.01,0.01,0.00,-0.00,-0.00,-0.00,-0.08,-0.01,0.00,-0.01,-0.00,0.00,-0.01
Cd207_36100-LI,0.01,0.03,0.05,-0.03,-0.01,-0.05,0.01,0.01,0.03,0.02,-0.02,-0.00,0.02,0.04,-0.04,0.04,0.02,-0.01,-0.01,0.00,0.03,0.05,0.01,0.03,-0.02,0.00,-0.01,-0.03,0.01,0.01,-0.04,0.04,0.06,-0.02,0.01,-0.03,0.01,0.02,0.02,-0.01,0.03,0.01,-0.00,-0.13,-0.02,0.00,0.02,0.00,-0.01,0.02
Tspan2_51357-LI,-0.08,-0.06,0.03,-0.03,-0.06,-0.05,-0.03,-0.05,-0.05,0.06,-0.13,-0.04,-0.05,0.03,-0.09,-0.02,-0.06,-0.06,-0.06,-0.07,-0.06,-0.13,-0.14,-0.14,-0.11,0.07,-0.07,-0.12,-0.07,-0.05,-0.17,-0.12,-0.05,-0.09,-0.09,-0.10,0.03,-0.13,-0.02,-0.06,-0.11,-0.05,-0.07,-0.25,-0.14,-0.03,-0.07,-0.05,-0.05,-0.07
Or7e24_46806-LI,0.03,0.01,0.03,-0.00,0.01,0.00,0.01,-0.00,0.00,-0.04,-0.01,0.01,0.01,0.01,-0.03,0.01,0.00,-0.01,-0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,-0.00,0.01,0.00,0.01,0.01,0.03,-0.01,-0.01,0.01,0.01,-0.01,0.00,0.02,-0.00,0.00,0.01,-0.05,0.01,0.01,-0.00,-0.01,0.00,-0.14
Sipa1_81431-LI,-0.04,-0.15,-0.09,-0.08,-0.14,-0.15,-0.11,-0.05,-0.03,0.09,-0.20,0.02,-0.11,0.03,-0.15,-0.15,-0.07,-0.06,-0.16,-0.07,-0.12,-0.08,-0.15,-0.12,-0.03,0.01,-0.04,-0.03,0.09,-0.05,-0.12,0.00,0.12,-0.09,0.05,-0.18,-0.01,-0.22,0.02,-0.04,-0.05,-0.10,-0.14,-0.05,-0.09,-0.13,-0.07,-0.01,0.03,-0.11
AC112534.2_43397-LI,0.01,0.02,0.02,0.01,0.01,-0.00,0.01,-0.01,0.01,0.02,0.00,0.00,0.01,0.01,0.02,0.01,0.00,-0.01,0.00,0.00,0.01,0.01,0.01,-0.00,-0.01,0.00,-0.05,-0.03,0.01,-0.00,0.01,0.01,-0.00,0.01,-0.00,-0.00,0.02,0.00,0.01,0.00,-0.00,0.03,-0.01,-0.06,-0.00,0.02,-0.00,0.00,0.01,0.00
Olr1670_42827-LI,0.02,0.00,0.02,0.00,0.00,-0.00,0.01,-0.00,0.01,0.01,-0.01,-0.00,0.01,0.01,0.01,0.01,0.01,-0.01,0.00,0.00,0.03,0.00,0.01,-0.01,-0.00,-0.00,-0.01,0.00,0.02,0.02,-0.01,0.01,-0.05,0.01,-0.02,-0.00,0.02,0.00,0.01,0.01,0.00,0.01,0.01,-0.01,-0.00,0.01,-0.01,-0.03,0.01,-0.00
Tspan12_32937-LI,0.05,-0.01,-0.20,0.03,0.02,-0.14,-0.03,-0.05,0.04,0.01,-0.08,0.04,0.16,-0.12,0.01,-0.08,-0.15,-0.04,0.07,-0.01,0.16,0.20,0.01,-0.09,-0.12,-0.09,-0.15,0.13,0.17,0.21,-0.10,0.21,-0.08,0.07,0.05,-0.07,0.03,-0.22,0.10,-0.03,-0.72,0.06,0.12,-0.01,0.17,0.15,0.03,0.07,0.14,-0.08
Clip4_53043-LI,0.02,0.06,0.03,0.02,-0.02,-0.01,-0.01,-0.06,-0.10,-0.05,-0.09,0.05,-0.05,0.02,-0.10,-0.00,0.00,-0.01,0.01,0.01,-0.06,0.04,-0.04,-0.03,0.01,0.02,0.04,-0.01,-0.14,-0.02,-0.02,0.04,0.04,-0.01,-0.04,-0.05,0.00,-0.02,0.06,-0.06,-0.03,-0.06,-0.03,0.00,-0.01,-0.01,0.02,0.02,-0.03,-0.03
Map3k6_38555-LI,0.07,0.04,-0.02,-0.11,0.11,-0.09,-0.04,-0.01,0.16,0.03,-0.14,0.04,-0.03,0.01,-0.14,0.28,0.19,-0.02,0.16,-0.02,0.01,0.01,0.04,-0.00,0.12,-0.07,-0.01,-0.06,0.09,0.12,-0.06,0.06,0.53,0.10,-0.15,-0.20,0.17,0.24,0.12,0.09,0.10,-0.06,-0.10,0.21,-0.07,-0.09,-0.01,0.01,-0.39,-0.28
Stx2_42498-LI,0.02,-0.00,0.02,-0.00,-0.00,-0.02,-0.00,-0.00,-0.02,0.01,-0.01,-0.00,0.01,0.01,0.01,0.00,-0.01,-0.03,0.00,-0.03,0.00,-0.01,0.03,-0.00,-0.01,0.00,-0.01,-0.00,-0.06,-0.01,-0.01,0.01,0.04,-0.01,-0.00,-0.00,0.00,-0.00,0.00,0.01,0.00,-0.00,0.01,-0.05,-0.02,0.00,-0.01,0.01,-0.02,-0.02
Rbx1_50069-LI,0.11,0.08,0.12,0.03,-0.02,0.07,0.15,0.04,0.04,0.12,-0.02,0.14,0.13,-0.02,0.06,0.13,0.06,0.01,0.06,0.11,0.06,0.17,0.06,0.12,0.01,-0.05,0.14,0.03,0.12,-0.01,-0.06,0.12,0.20,0.06,0.07,-0.05,0.18,0.20,0.15,0.15,0.12,0.10,0.13,0.01,0.07,0.05,0.11,0.12,0.18,0.08
Cdk14_34696-LI,-0.06,-0.10,-0.04,-0.04,-0.15,-0.11,-0.10,-0.09,-0.04,0.11,-0.17,-0.01,-0.15,-0.07,-0.21,-0.11,-0.06,-0.07,-0.00,-0.05,-0.16,-0.05,-0.02,-0.18,-0.17,-0.07,-0.06,-0.01,-0.14,-0.10,-0.09,-0.12,-0.07,-0.09,-0.10,-0.07,-0.01,-0.12,0.02,-0.08,-0.19,-0.11,-0.17,-0.04,-0.02,-0.07,-0.10,0.00,-0.11,-0.18
Aadacl3_36191-LI,0.03,0.01,0.03,0.01,0.01,0.00,0.02,-0.00,-0.00,0.02,0.00,0.01,0.01,0.01,0.01,0.00,0.02,-0.00,0.01,0.01,-0.01,0.01,0.03,0.00,-0.00,0.00,0.00,-0.01,0.01,-0.03,-0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,-0.00,-0.00,0.01,0.03,0.00,0.01,-0.00,0.01,0.01,-0.09
